state_fips,state_abbr,zcta,house_district
01,AL,36542,01
01,AL,36543,01
01,AL,36544,01
01,AL,36545,01
01,AL,36545,07
01,AL,36548,01
01,AL,36549,01
01,AL,36550,01
01,AL,36551,01
01,AL,36553,01
01,AL,36555,01
01,AL,36556,01
01,AL,36558,01
01,AL,36558,07
01,AL,36559,01
01,AL,36560,01
01,AL,36561,01
01,AL,36562,01
01,AL,36564,01
01,AL,36567,01
01,AL,36568,01
01,AL,36569,01
01,AL,36571,01
01,AL,36572,01
01,AL,36574,01
01,AL,36575,01
01,AL,36576,01
01,AL,36578,01
01,AL,36579,01
01,AL,36580,01
01,AL,36581,01
01,AL,36582,01
01,AL,36583,01
01,AL,36584,01
01,AL,36585,01
01,AL,36587,01
01,AL,36590,01
01,AL,36602,01
01,AL,36603,01
01,AL,36604,01
01,AL,36605,01
01,AL,36606,01
01,AL,36607,01
01,AL,36608,01
01,AL,36609,01
01,AL,36610,01
01,AL,36611,01
01,AL,36612,01
01,AL,36613,01
01,AL,36615,01
01,AL,36616,01
01,AL,36617,01
01,AL,36618,01
01,AL,36619,01
01,AL,36688,01
01,AL,36693,01
01,AL,36695,01
01,AL,36701,07
01,AL,36703,02
01,AL,36703,07
01,AL,36720,07
01,AL,36722,07
01,AL,36723,07
01,AL,36726,07
01,AL,36727,07
01,AL,36728,07
01,AL,36732,07
01,AL,36736,07
01,AL,36738,07
01,AL,36740,07
01,AL,36742,07
01,AL,36744,07
01,AL,36748,07
01,AL,36749,02
01,AL,36749,07
01,AL,36750,06
01,AL,36751,01
01,AL,36751,07
01,AL,36752,07
01,AL,36753,01
01,AL,36753,07
01,AL,36754,07
01,AL,36756,07
01,AL,36758,02
01,AL,36758,06
01,AL,36758,07
01,AL,36759,07
01,AL,36761,07
01,AL,36763,07
01,AL,36765,07
01,AL,36766,07
01,AL,36767,07
01,AL,36768,01
01,AL,36768,07
01,AL,36769,07
01,AL,36773,07
01,AL,36775,07
01,AL,36776,07
01,AL,36782,07
01,AL,36783,07
01,AL,36784,07
01,AL,36785,07
01,AL,36786,07
01,AL,36790,06
01,AL,36792,06
01,AL,36793,06
01,AL,36793,07
01,AL,36801,03
01,AL,36804,03
01,AL,36830,03
01,AL,36832,03
01,AL,36849,03
01,AL,36850,03
01,AL,36852,03
01,AL,36853,03
01,AL,36854,03
01,AL,36855,03
01,AL,36856,03
01,AL,36858,03
01,AL,36859,03
01,AL,36860,02
01,AL,36860,03
01,AL,36861,03
01,AL,36862,03
01,AL,36863,03
01,AL,36865,03
01,AL,36866,03
01,AL,36867,03
01,AL,36869,03
01,AL,36870,03
01,AL,36871,03
01,AL,36874,03
01,AL,36875,03
01,AL,36877,03
01,AL,36879,03
01,AL,36901,07
01,AL,36904,07
01,AL,36907,07
01,AL,36908,07
01,AL,36910,07
01,AL,36912,07
01,AL,36913,07
01,AL,36915,07
01,AL,36916,07
01,AL,36919,01
01,AL,36919,07
01,AL,36921,07
01,AL,36922,07
01,AL,36925,07
01,AL,38852,04
02,AK,99501,0
02,AK,99502,0
02,AK,99503,0
02,AK,99503,0
02,AK,99504,0
02,AK,99505,0
02,AK,99506,0
02,AK,99507,0
02,AK,99508,0
02,AK,99510,0
02,AK,99513,0
02,AK,99515,0
02,AK,99516,0
02,AK,99517,0
02,AK,99518,0
02,AK,99519,0
02,AK,99540,0
02,AK,99546,0
02,AK,99547,0
02,AK,99548,0
02,AK,99549,0
02,AK,99550,0
02,AK,99551,0
02,AK,99552,0
02,AK,99553,0
02,AK,99554,0
02,AK,99555,0
02,AK,99556,0
02,AK,99557,0
02,AK,99558,0
02,AK,99559,0
02,AK,99561,0
02,AK,99563,0
02,AK,99564,0
02,AK,99565,0
02,AK,99566,0
02,AK,99567,0
02,AK,99568,0
02,AK,99569,0
02,AK,99571,0
02,AK,99572,0
02,AK,99573,0
02,AK,99574,0
02,AK,99575,0
02,AK,99576,0
02,AK,99577,0
02,AK,99578,0
02,AK,99579,0
02,AK,99580,0
02,AK,99581,0
02,AK,99583,0
02,AK,99585,0
02,AK,99586,0
02,AK,99587,0
02,AK,99588,0
02,AK,99588,0
02,AK,99589,0
02,AK,99590,0
02,AK,99591,0
02,AK,99602,0
02,AK,99603,0
02,AK,99604,0
02,AK,99605,0
02,AK,99606,0
02,AK,99607,0
02,AK,99609,0
02,AK,99610,0
02,AK,99611,0
02,AK,99612,0
02,AK,99613,0
02,AK,99613,0
02,AK,99614,0
02,AK,99615,0
02,AK,99620,0
02,AK,99621,0
02,AK,99622,0
02,AK,99624,0
02,AK,99625,0
02,AK,99626,0
02,AK,99627,0
02,AK,99628,0
02,AK,99630,0
02,AK,99631,0
02,AK,99632,0
02,AK,99633,0
02,AK,99634,0
02,AK,99636,0
02,AK,99637,0
02,AK,99638,0
02,AK,99639,0
02,AK,99640,0
02,AK,99641,0
02,AK,99643,0
02,AK,99644,0
02,AK,99645,0
02,AK,99647,0
02,AK,99648,0
02,AK,99649,0
02,AK,99650,0
02,AK,99651,0
02,AK,99652,0
02,AK,99653,0
02,AK,99654,0
02,AK,99655,0
02,AK,99656,0
02,AK,99657,0
02,AK,99658,0
02,AK,99659,0
02,AK,99660,0
02,AK,99661,0
02,AK,99662,0
02,AK,99663,0
02,AK,99664,0
02,AK,99665,0
02,AK,99666,0
02,AK,99667,0
02,AK,99668,0
02,AK,99669,0
02,AK,99670,0
02,AK,99671,0
02,AK,99672,0
02,AK,99674,0
02,AK,99676,0
02,AK,99677,0
02,AK,99678,0
02,AK,99679,0
02,AK,99680,0
02,AK,99681,0
02,AK,99682,0
02,AK,99683,0
02,AK,99684,0
02,AK,99685,0
02,AK,99686,0
02,AK,99688,0
02,AK,99689,0
02,AK,99690,0
02,AK,99691,0
02,AK,99692,0
02,AK,99693,0
02,AK,99693,0
02,AK,99694,0
02,AK,99695,0
02,AK,99701,0
02,AK,99701,0
02,AK,99702,0
02,AK,99703,0
02,AK,99704,0
02,AK,99705,0
02,AK,99706,0
02,AK,99709,0
02,AK,99712,0
02,AK,99714,0
02,AK,99720,0
02,AK,99721,0
02,AK,99722,0
02,AK,99723,0
02,AK,99724,0
02,AK,99726,0
02,AK,99727,0
02,AK,99729,0
02,AK,99729,0
02,AK,99730,0
02,AK,99732,0
02,AK,99733,0
02,AK,99734,0
02,AK,99736,0
02,AK,99737,0
02,AK,99737,0
02,AK,99738,0
02,AK,99738,0
02,AK,99739,0
02,AK,99740,0
02,AK,99741,0
02,AK,99742,0
02,AK,99743,0
02,AK,99744,0
02,AK,99745,0
02,AK,99746,0
02,AK,99747,0
02,AK,99748,0
02,AK,99749,0
02,AK,99750,0
02,AK,99751,0
02,AK,99752,0
02,AK,99753,0
02,AK,99754,0
02,AK,99755,0
02,AK,99756,0
02,AK,99757,0
02,AK,99758,0
02,AK,99759,0
02,AK,99760,0
02,AK,99760,0
02,AK,99760,0
02,AK,99761,0
02,AK,99762,0
02,AK,99763,0
02,AK,99764,0
02,AK,99765,0
02,AK,99766,0
02,AK,99767,0
02,AK,99768,0
02,AK,99769,0
02,AK,99770,0
02,AK,99771,0
02,AK,99772,0
02,AK,99773,0
02,AK,99774,0
02,AK,99775,0
02,AK,99776,0
02,AK,99777,0
02,AK,99778,0
02,AK,99780,0
02,AK,99780,0
02,AK,99781,0
02,AK,99782,0
02,AK,99783,0
02,AK,99784,0
02,AK,99785,0
02,AK,99786,0
02,AK,99788,0
02,AK,99789,0
02,AK,99790,0
02,AK,99791,0
02,AK,99801,0
02,AK,99820,0
02,AK,99824,0
02,AK,99825,0
02,AK,99826,0
02,AK,99827,0
02,AK,99827,0
02,AK,99829,0
02,AK,99830,0
02,AK,99832,0
02,AK,99833,0
02,AK,99835,0
02,AK,99836,0
02,AK,99840,0
02,AK,99841,0
02,AK,99901,0
02,AK,99901,0
02,AK,99903,0
02,AK,99918,0
02,AK,99919,0
02,AK,99921,0
02,AK,99922,0
02,AK,99923,0
02,AK,99925,0
02,AK,99926,0
02,AK,99927,0
02,AK,99929,0
04,AZ,84531,01
04,AZ,84536,01
04,AZ,85003,07
04,AZ,85004,07
04,AZ,85006,07
04,AZ,85007,07
04,AZ,85008,07
04,AZ,85008,09
04,AZ,85009,07
04,AZ,85012,07
04,AZ,85012,09
04,AZ,85013,07
04,AZ,85013,09
04,AZ,85014,07
04,AZ,85014,09
04,AZ,85015,07
04,AZ,85016,06
04,AZ,85016,07
04,AZ,85016,09
04,AZ,85017,07
04,AZ,85018,06
04,AZ,85018,07
04,AZ,85018,09
04,AZ,85019,07
04,AZ,85020,06
04,AZ,85020,09
04,AZ,85021,06
04,AZ,85021,07
04,AZ,85021,09
04,AZ,85022,06
04,AZ,85023,06
04,AZ,85024,06
04,AZ,85027,06
04,AZ,85028,06
04,AZ,85029,06
04,AZ,85031,07
04,AZ,85032,06
04,AZ,85033,03
04,AZ,85033,07
04,AZ,85034,07
04,AZ,85034,09
04,AZ,85035,07
04,AZ,85037,03
04,AZ,85037,07
04,AZ,85037,08
04,AZ,85040,07
04,AZ,85040,09
04,AZ,85041,07
04,AZ,85042,07
04,AZ,85043,03
04,AZ,85043,07
04,AZ,85044,07
04,AZ,85044,09
04,AZ,85045,09
04,AZ,85048,07
04,AZ,85048,09
04,AZ,85050,06
04,AZ,85051,06
04,AZ,85051,07
04,AZ,85051,09
04,AZ,85053,06
04,AZ,85054,06
04,AZ,85083,06
04,AZ,85083,08
04,AZ,85085,06
04,AZ,85085,08
04,AZ,85086,06
04,AZ,85086,08
04,AZ,85087,04
04,AZ,85087,06
04,AZ,85087,08
04,AZ,85118,04
04,AZ,85119,04
04,AZ,85120,04
04,AZ,85120,05
04,AZ,85121,01
04,AZ,85122,01
04,AZ,85123,01
04,AZ,85123,03
04,AZ,85128,01
04,AZ,85128,04
04,AZ,85131,01
04,AZ,85132,01
04,AZ,85132,04
04,AZ,85135,01
04,AZ,85137,01
